Peak,DNase,RNAPII,H3K4me1,Input
scaffold_2-102,6.95,7.34,3.63,1.16
scaffold_2-99,6.3,6.36,4.76,1.4
scaffold_10-37,6.25,5.98,3.6,1.02
scaffold_2-100,6.61,30.49,2.06,1.81
scaffold_44-2,5.2,13.86,3.55,0.98
scaffold_9-46,5.53,3.15,6.37,1.44
scaffold_6-82,5.94,4.89,3.86,1.58
scaffold_7-83,5.88,19.45,2.78,1.66
scaffold_3-64,9.21,14.56,5.3,1.32
scaffold_1-150,6.49,5.81,2.64,0.97
scaffold_4-103,6.77,5.27,2.3,1.71
scaffold_5-58,7.95,10.11,1.97,1.63
scaffold_3-61,6.16,10.98,4.56,1.23
scaffold_4-105,6.04,36.41,2.61,1.66
scaffold_4-104,6.44,9.18,5.09,1.32
scaffold_3-69,5.54,9.29,4.22,1.12
scaffold_1-161,6.29,4.18,3.78,1.55
scaffold_1-163,6.78,58.47,4.7,1.4
scaffold_9-45,5.84,3.53,2.53,1.66
scaffold_3-70,5.95,3.91,4.45,1.23
scaffold_1-165,5.96,13.69,4.96,1.39
scaffold_4-101,6.31,3.7,4.15,1.32
scaffold_1-168,6.1,6.3,5.17,1.33
scaffold_29-1,6.54,30.81,2.56,1.58
scaffold_7-84,6.95,32.93,3.18,1.56
scaffold_8-73,7.55,53.36,5.01,1.38
scaffold_4-102,6.74,15.32,3.93,1.65
scaffold_1-162,6.42,4.13,2.87,0.82
scaffold_5-55,7.52,17.72,3.83,1.4
scaffold_2-104,5.39,5.16,5.77,1.47
scaffold_8-75,7.78,36.25,3.22,1.52
scaffold_1-169,5.47,6.68,1.98,1.2
scaffold_3-71,5.62,3.8,5.57,1.36
scaffold_6-88,6.03,3.7,4.64,1.29
scaffold_1-166,5.86,11.85,5.15,1.21
scaffold_7-88,6.11,5.6,4.82,1.24
scaffold_4-106,6.28,26.74,2.1,1.63
scaffold_9-48,5.71,11.41,2.94,1.16
scaffold_3-72,7.49,10.87,3.74,1.27
scaffold_5-60,6.6,22.06,3.8,1.68
scaffold_1-170,5.97,6.19,3.58,1.25
scaffold_1-159,7.13,3.21,2.95,1.69
scaffold_1-164,6.22,4.29,4.39,1.19
scaffold_1-167,6.73,11.95,2.01,1.5
scaffold_6-90,6.44,19.56,4.55,1.4
scaffold_7-87,6.18,7.5,5.97,1.5
scaffold_4-107,6.68,14.51,6.4,1.5
scaffold_1-171,6.04,25.21,4.88,1.4
scaffold_2-101,6.45,13.31,5.53,1.32
scaffold_7-90,6.78,24.67,4.5,1.31
scaffold_4-109,6.53,4.78,4.56,1.47
scaffold_2-107,5.62,5.54,4.45,1.33
scaffold_6-91,5.95,4.13,3.18,1.65
scaffold_7-93,5.91,20.98,4.27,1.59
scaffold_7-89,6.21,29.56,1.79,1.44
scaffold_8c-2,7.76,24.07,2.74,1.75
scaffold_3-73,5.41,24.07,5.55,1.18
scaffold_7-95,5.97,6.58,4.59,1.55
scaffold_8-77,5.87,5.05,6.58,1.31
scaffold_2-106,5.92,3.04,1.95,1.56
scaffold_10-38,6.25,5.92,2.87,1.59
scaffold_7-94,5.88,3.64,5.43,1.46
scaffold_7-91,5.89,8.37,5.65,1.15
scaffold_3-75,5.88,5.98,3.97,1.15
scaffold_5-63,5.79,4.24,3.41,1.46
scaffold_1-175,6.01,6.47,2.73,1.54
scaffold_10-41,6.39,8.15,3.19,1.14
scaffold_4-108,6.31,3.1,2.66,1.73
scaffold_1-173,6.27,12.12,5.97,1.4
scaffold_7-97,5.91,6.47,5.03,1.39
scaffold_5-59,5.59,12.88,1.96,1.28
scaffold_1-177,5.55,5.65,5.95,1.3
scaffold_3-76,5.31,23.75,3.93,1.2
scaffold_1-172,5.78,7.83,5.25,1.29
scaffold_2-109,6.16,46.41,4.68,1.39
scaffold_2-110,6.61,44.18,1.34,1.38
scaffold_5-61,6.84,68.36,4.99,1.58
scaffold_2-108,6.4,5.87,4.86,1.13
scaffold_9-47,5.88,3.75,3.86,1.47
scaffold_5-65,5.72,5.38,2.38,1.48
scaffold_9-50,6.19,21.03,4.29,1.58
scaffold_2-103,7.94,13.37,5.78,1.46
scaffold_3-77,5.67,6.74,5.19,1.27
scaffold_4-110,6.21,3.75,3.52,1.54
scaffold_5-62,5.98,5.38,4.97,1.47
scaffold_8-76,5.44,2.93,3.46,1.17
scaffold_6-89,5.6,4.62,4.55,1.23
scaffold_5-67,7.41,5.33,2.38,1.51
scaffold_777-1,4.88,2.23,2.25,1.22
scaffold_9-51,7.17,4.89,4.45,1.37
scaffold_5-66,5.37,12.23,5.27,1.47
scaffold_10-39,6.09,6.03,2.84,1.62
scaffold_1-179,6.93,15.11,2.35,1.89
scaffold_8-81,5.95,3.97,5.57,1.48
scaffold_9-52,6.16,8.48,2.56,1.54
scaffold_2-111,6.54,3.91,2.83,1.62
scaffold_4-112,6.29,7.44,2.83,1.6
scaffold_1-181,5.8,29.18,5.14,1.39
scaffold_7-100,5.99,4.89,5.49,1.34
scaffold_4-111,6.37,7.99,6.37,1.43
scaffold_7886-1,5.44,9.13,1.92,1.3
scaffold_5b-2,5.79,8.53,2.22,1.52
scaffold_3-78,6.07,5.54,3.19,1.59
scaffold_6-94,6.23,14.35,2.77,1.81
scaffold_3-83,6.06,5.43,6.46,1.38
scaffold_8b-6,8.17,107.38,1.79,1.75
scaffold_1-183,6.08,11.19,1.58,1.38
scaffold_2-112,5.88,6.79,3.84,1.17
scaffold_8-83,5.84,6.9,4.13,1.53
scaffold_1-180,6.32,11.57,2.97,1.61
scaffold_9-49,5.9,4.56,2.66,1.64
scaffold_1-176,7.13,18.91,2.12,1.85
scaffold_10-42,6.19,38.91,4.17,1.4
scaffold_5-64,5.7,4.67,5.5,1.39
scaffold_5-68,5.88,9.89,3.93,1.39
scaffold_7-104,5.75,13.2,4.57,1.21
scaffold_3-85,5.82,5.87,3.86,1.42
scaffold_7-103,6.87,19.45,3.19,1.66
scaffold_1-188,6.04,4.35,3.92,1.63
scaffold_8-79,6.29,7.93,3.34,1.58
scaffold_9-53,5.4,2.28,4.15,1.54
scaffold_6-96,6.5,7.99,6.9,1.82
scaffold_7-98,6.25,19.51,3.63,1.38
scaffold_5-72,6.03,49.45,2.37,1.25
scaffold_8-86,6.91,5.38,4.1,0.98
scaffold_7-102,5.59,10.76,3.75,1.63
scaffold_5-71,5.85,10.05,2.9,1.53
scaffold_4-115,7.46,34.4,2.15,1.82
scaffold_4-114,7.06,5.27,2.8,1.66
scaffold_9-59,6.09,5.71,4.34,1.46
scaffold_3-82,4.66,7.88,1.97,0.8
scaffold_8-84,6.64,20.6,3.65,1.61
scaffold_2-116,5.53,8.59,2.33,1.51
scaffold_7-105,6.12,2.99,5.09,1.25
scaffold_3-80,5.9,32.77,2.36,1.42
scaffold_7-99,5.52,7.61,2.51,1.35
scaffold_1-186,5.72,12.17,2.49,1.3
scaffold_6-95,5.7,2.66,3.58,1.65
scaffold_1-185,5.81,5.71,3.87,1.44
scaffold_8-87,6.15,5.6,4.92,1.41
scaffold_9-55,6.33,66.3,2.22,1.64
scaffold_9-58,5.84,5.43,3.05,1.55
scaffold_9-56,5.75,7.06,4.45,1.26
scaffold_2-115,6.11,39.89,5.26,1.23
scaffold_1-187,6.54,14.78,2.73,1.44
scaffold_3-88,6.66,13.86,2.27,1.61
scaffold_1-192,5.85,13.04,4.43,1.56
scaffold_5-69,7.66,81.29,3,1.58
scaffold_6-93,6.68,9.67,3.39,1.48
scaffold_3-86,5.77,15.92,1.98,1.61
scaffold_1-178,6.09,7.88,3.29,1.72
scaffold_10-46,5.25,8.04,3.95,1.03
scaffold_3-84,6.3,11.19,3.13,1.51
scaffold_6-98,6.56,9.35,3.37,1.16
scaffold_3-89,5.79,4.89,2.83,1.6
scaffold_9-57,5.07,3.48,3.11,1.32
scaffold_9-60,5.19,2.77,3.51,1.33
scaffold_7-106,4.36,2.88,2.44,0.82
scaffold_6-99,6.98,7.99,5.76,1.29
scaffold_7-92,6.62,5.98,2.73,1.63
scaffold_5b-3,6.19,16.19,4.64,1.31
scaffold_8-85,5.54,8.21,3.34,1.71
scaffold_9-61,5.47,6.79,4.04,1.04
scaffold_1-189,5.44,3.75,6.78,1.39
scaffold_8-88,6.43,5.05,2.37,1.59
scaffold_3-90,5.56,4.24,4.28,1.28
scaffold_4-118,5.84,6.19,3.77,1.6
scaffold_1-182,6.21,55.26,2.47,1.64
scaffold_140-1,8.28,9.07,4.72,1.62
scaffold_1-191,5.91,10,2.95,1.28
scaffold_5-70,5.74,3.53,2.2,1.27
scaffold_3-91,5.32,3.1,5.13,1.01
scaffold_8-89,5.69,9.89,3.87,1.27
scaffold_10-45,6.14,3.86,2.24,1.48
scaffold_4-120,5.95,9.84,2.95,1.35
scaffold_4-121,6.76,3.48,3.41,1.51
scaffold_2-117,5.9,8.21,2.24,1.47
scaffold_38-4,4.51,2.34,1.83,0.9
scaffold_3-87,6.28,9.18,5.72,1.55
scaffold_2-114,6.98,19.56,1.35,1.65
scaffold_7-109,4.98,2.45,2.93,1.46
scaffold_1-184,5.91,7.06,1.99,1.58
scaffold_1-194,6.47,4.35,4.85,1.2
scaffold_8-90,5.88,40.27,3.06,1.4
scaffold_4-116,6.1,4.02,6.53,1.25
scaffold_1-197,6.76,3.64,4.91,1.16
scaffold_6-101,5.94,15.16,3.02,1.13
scaffold_2-120,5.6,9.78,7.11,1.4
scaffold_4-122,5.24,4.4,7.06,1.31
scaffold_75-2,5.05,3.04,2.08,1.25
scaffold_42-2,5.07,3.8,5.51,1.05
scaffold_2-118,6.14,37.55,4.06,1.83
scaffold_1-196,7.39,67.27,1.35,1.79
scaffold_2-113,6.17,6.09,6.63,1.45
scaffold_7-107,6.01,4.56,2.51,1.32
scaffold_1-195,6.22,20.21,7.01,1.56
scaffold_10-50,5.97,5.43,3.14,1.72
scaffold_9-66,6.02,7.55,7.58,1.6
scaffold_7-101,5.97,1.3,3.25,1.56
scaffold_3-93,5.77,5.92,5.11,1.45
scaffold_2-121,5.84,9.02,4.36,1.32
scaffold_2-123,6.32,4.78,3.45,1.32
scaffold_5-74,5.93,30.16,3.93,1.85
scaffold_4-119,5.41,11.63,4.1,1.2
scaffold_10-48,5.23,3.97,2.87,1.59
scaffold_9-65,5.5,4.02,4,1.44
scaffold_4-128,5.87,17.33,3.93,1.62
scaffold_4-123,6.26,18.64,5.27,1.49
scaffold_2-124,6.42,4.56,3.07,1.8
scaffold_1-198,8.21,15.7,3.52,1.73
scaffold_9-63,5.24,4.51,4.92,1.28
scaffold_10-49,6.65,27.39,2.99,1.56
scaffold_6-102,6.44,9.29,7.05,1.71
scaffold_2-122,6.48,7.17,3.25,1.44
scaffold_2-126,6.51,15.54,4.4,1.14
scaffold_8-91,6.03,4.51,3.13,1.37
scaffold_9-62,6.09,43.26,3.05,1.29
scaffold_6005-1,5.92,9.78,8.04,1.17
scaffold_210-1,5.86,48.15,2.68,1.74
scaffold_8-94,5.68,4.89,7.86,1.36
scaffold_4-125,6.54,3.31,4.26,1.42
scaffold_4-129,6.2,7.34,3.88,1.29
scaffold_2-127,6.05,12.99,4.28,1.35
scaffold_8-92,5.46,13.75,5.77,1.46
scaffold_1-200,5.65,14.94,4.18,1.21
scaffold_3-92,5.47,15.43,2.59,1.37
scaffold_1-206,6.35,5,4.3,1.34
scaffold_10-52,5.8,58.58,2.95,1.37
scaffold_2-132,5.68,10.22,2.7,1.61
scaffold_2-119,5.97,5.27,6.32,1.42
scaffold_6-105,5.57,5.6,5.71,1.49
scaffold_8-97,5.94,7.88,2.59,1.53
scaffold_4-130,6.97,2.83,3.42,1.37
scaffold_1-207,6.92,85.91,1.73,1.65
scaffold_1-202,6.59,22.33,2.33,1.74
scaffold_6-104,6.05,10.27,5.09,1.27
scaffold_9-67,6.09,3.59,2.06,1.14
scaffold_6-103,5.68,4.51,2.53,1.37
scaffold_8-98,6.36,50.27,1.84,1.35
scaffold_7-108,5.97,3.86,2.94,1.62
scaffold_10-51,5.6,5.98,3.57,1.19
scaffold_4-124,5.91,2.28,4.12,1.2
scaffold_2-130,5.18,5.6,2.78,1.45
scaffold_1-201,5.88,14.18,2.07,1.45
scaffold_2-129,6.22,29.51,4.05,1.59
scaffold_1-208,6.43,4.67,3.18,1.69
scaffold_8-96,5.95,7.5,5.76,1.35
scaffold_8b-8,4.48,3.7,4.96,0.96
scaffold_1-210,6.66,9.29,3.11,1.56
scaffold_2-125,5.95,12.66,2.1,1.52
scaffold_2-137,6.79,8.8,2.91,1.65
scaffold_8-99,5.92,63.47,2.18,1.56
scaffold_1-212,5.53,4.24,3.24,1.16
scaffold_2-135,5.63,5.11,5.44,1.33
scaffold_3-94,5.3,6.3,3.86,1.48
scaffold_6-107,5.03,3.04,5.33,1.07
scaffold_6-106,6.53,5.65,3.48,1.3
scaffold_2-134,5.63,20.43,2.16,1.27
scaffold_2-128,5.96,4.95,3.99,1.62
scaffold_9-68,5.79,13.64,3.17,1.49
scaffold_6-97,6.22,8.31,3.35,1.63
scaffold_1-214,5.89,4.56,4.2,1.12
scaffold_6-108,5.78,6.96,3.89,1.16
scaffold_4-133,5.47,7.77,2.76,1.38
scaffold_109-2,5.92,30.54,4.62,1.4
scaffold_10-54,4.87,17.12,4.26,1.17
scaffold_9-70,5.55,3.21,3.46,1.53
scaffold_8-95,6.51,19.4,4.41,1.68
scaffold_1-215,6.23,22.33,1.78,1.61
scaffold_1-205,6.21,7.01,3.49,1.66
scaffold_7-111,5.45,5.65,4.17,1.11
scaffold_5-79,5.61,4.35,6.03,1.56
scaffold_2-138,5.6,6.63,5.57,1.55
scaffold_6-109,5.8,7.44,4.69,1.32
scaffold_5-81,6.3,5.81,3.86,1.34
scaffold_1-222,5.91,6.47,4.76,1.27
scaffold_1-219,5.97,5.92,6.09,1.13
scaffold_5-77,6.36,2.93,7.17,1.63
scaffold_7-110,6.14,6.36,4.32,1.73
scaffold_9-69,4.9,4.67,2.44,1.42
scaffold_4-126,4.61,13.64,2.77,1
scaffold_8-102,6.6,20.7,6.14,1.41
scaffold_4-135,5.25,1.85,3.66,1.6
scaffold_1-213,5.73,13.42,2.51,1.51
scaffold_8-104,5.53,5,5.82,1.32
scaffold_2-141,7.02,5.49,4.27,1.71
scaffold_3-95,5.73,13.2,6.67,1.44
scaffold_4-134,5.37,5.38,3.42,1.23
scaffold_1-216,5.9,25.97,6.44,1.43
scaffold_1-217,5.5,6.74,1.72,1.52
scaffold_5-82,5.64,3.59,4.7,1.04
scaffold_5-84,5.22,4.84,2.65,1.27
scaffold_6-110,5.64,3.1,2.99,1.47
scaffold_27-1,6.24,10.16,3.39,1.55
scaffold_2-131,6.42,7.12,3.72,1.69
scaffold_8-103,6.42,5.05,6.99,1.48
scaffold_6-111,7.28,13.91,3.22,1.62
scaffold_2-133,6.27,3.8,4.33,1.76
scaffold_6-116,6.13,22.17,5.9,1.64
scaffold_2-143,5.39,4.56,5.89,0.95
scaffold_5-86,6.2,8.15,4.65,1.13
scaffold_210-2,5.27,2.01,3.76,1.42
scaffold_2-139,6.09,141.99,3.48,1.03
scaffold_1-228,6.12,9.67,3.62,1.75
scaffold_1-220,6.1,4.84,6.52,1.38
scaffold_5-85,6.02,5.05,5.68,1.36
scaffold_6-114,6.03,7.17,3.39,1.49
scaffold_4-132,5.64,5.71,3.95,1.16
scaffold_1-211,5.49,22.06,4.53,1.46
scaffold_9-75,5.8,12.01,3.77,1.79
scaffold_1-209,5.16,2.34,3.26,1.17
scaffold_1-229,6.29,14.67,2.26,1.69
scaffold_6-112,6.87,37.39,3.75,1.59
scaffold_7-115,5.99,40.05,5.08,1.14
scaffold_7-113,6.52,2.77,3.97,1.62
scaffold_2-146,5.41,29.51,4.07,1.14
scaffold_2-142,5.79,30.76,3.83,1.7
scaffold_1-231,5.33,22.12,4.84,1.34
scaffold_1-223,5.15,3.04,3.11,1.49
scaffold_10-56,6.5,27.71,2.73,1.58
scaffold_10-53,5.03,3.42,4.2,1.13
scaffold_6-115,5.23,5.81,4.63,1.33
scaffold_4-137,5.6,6.19,6.08,1.26
scaffold_6-117,5.53,4.02,5.49,1.38
scaffold_6-122,5.93,4.18,3.14,1.34
scaffold_4-136,6.9,24.24,5.9,1.72
scaffold_6-113,6.03,2.93,5.8,1.39
scaffold_1-204,6.47,11.09,3.31,1.69
scaffold_7-118,6.14,28.42,2.59,1.59
scaffold_3210-1,5.66,5.71,2.79,1.39
scaffold_1-225,4.97,1.3,2.43,1.05
scaffold_6-119,5.09,5.76,5.16,1.21
scaffold_4-142,5.23,2.39,3.68,1.38
scaffold_9-74,5.17,4.02,3.18,0.94
scaffold_1-230,5.15,4.46,3.19,1.4
scaffold_9-73,5.52,19.67,6.38,1.32
scaffold_6-121,6.03,3.15,4.56,1.42
scaffold_4-141,5.58,21.84,4.91,1.27
scaffold_1-221,5.58,37.55,3.29,1.14
scaffold_6-120,6.77,11.03,2.62,1.63
scaffold_8-106,6.59,31.9,1.77,1.68
scaffold_1-232,5.97,41.84,6,1.51
scaffold_7-117,5.79,2.77,4.8,1.08
scaffold_10-55,5.43,25.81,2.25,1.21
scaffold_76-1,5.14,6.9,1.55,1.32
scaffold_4-140,5.94,5.54,2.8,1.63
scaffold_8-105,6.67,21.25,2.82,1.51
scaffold_2-140,6.33,4.78,6.81,1.59
scaffold_4-144,5.91,58.63,2.14,1.27
scaffold_9-77,4.87,9.02,2.03,1.03
scaffold_2-147,7.62,9.24,5.21,1.32
scaffold_1-224,6.65,20.43,2.6,1.72
scaffold_6-125,5.74,9.29,4.4,1.21
scaffold_6-118,6.41,17.12,2.5,1.58
scaffold_2-145,6.29,19.02,2.22,1.61
scaffold_10-58,5.11,3.91,5.82,1.48
scaffold_7-119,5.44,21.63,6.6,1.33
scaffold_9-79,4.84,3.21,2.07,1.18
scaffold_3-97,5.67,5.22,4.24,1.23
scaffold_1-234,5.71,2.88,4.52,1.51
scaffold_8-108,5.12,4.78,4,1.26
scaffold_173-3,5.16,2.61,2.91,1.19
scaffold_6-123,5.92,7.61,3.19,1.1
scaffold_3-96,4.71,2.34,2.25,1.15
scaffold_3-103,5.37,4.78,4.57,1.37
scaffold_7-114,6.33,21.46,3.48,2.13
scaffold_3-100,5.74,3.8,2.85,1.69
scaffold_8-111,6.34,7.12,6.72,1.36
scaffold_8-109,5.56,4.4,3.62,1.5
scaffold_3-98,5.89,5.76,4.93,1.33
scaffold_9-76,5.87,18.96,3.08,1.58
scaffold_6-126,5.88,4.73,2.26,1.68
scaffold_223-1,5.25,2.39,2.04,1.25
scaffold_2-144,6.08,12.34,3.05,1.55
scaffold_3-102,6.19,12.44,3.48,1.57
scaffold_2-148,5.04,2.28,5.14,1.37
scaffold_9-80,5.98,9.02,3.26,1.64
scaffold_75-3,5.33,54.67,0.97,0.87
scaffold_4-139,6.23,10.11,4.67,1.71
scaffold_3-101,6.54,14.78,2.84,1.6
scaffold_10-57,5.59,1.3,3.46,1.68
scaffold_4-143,6.21,9.46,7.16,1.43
scaffold_52-1,6.3,15.43,2.99,1.66
scaffold_9-78,6.03,23.64,1.55,1.29
scaffold_8-107,5.84,10.6,4.78,1.67
scaffold_6-124,6.09,10.81,6.58,1.52
scaffold_1-239,6.67,17.93,2.7,1.63
scaffold_2-150,6.53,58.91,3.36,1.87
scaffold_6-129,4.84,3.15,4.28,1.09
scaffold_8-112,5.66,13.8,2.33,1.54
scaffold_7-121,5.27,6.85,0.93,1.17
scaffold_3-105,5.35,3.21,4.87,1.3
scaffold_2-149,5.42,6.96,5.04,1.24
scaffold_7-116,7.32,18.96,4.79,1.7
scaffold_9-84,5.41,3.42,4.01,1.49
scaffold_8b-10,6.33,14.51,3.58,1.52
scaffold_3-99,6.02,22.23,3.42,1.55
scaffold_3-106,5.06,0.98,2.66,1.49
scaffold_6-132,6.04,3.97,3.47,1.44
scaffold_9-85,5.5,5,5.01,1.33
scaffold_3-104,5.35,4.51,4.38,1.3
scaffold_1-235,5.2,3.97,2.76,1.52
scaffold_9-83,5.25,2.66,3.41,1
scaffold_3-108,5.84,15,2.71,1.61
scaffold_7-122,5.98,13.59,6.34,1.33
scaffold_1-243,5.12,5.27,6.18,1.37
scaffold_6-131,5.77,23.96,2.89,1.77
scaffold_1-241,5.46,3.21,4.47,1.42
scaffold_2-152,5.24,2.93,3.18,1.46
scaffold_4-146,5.32,2.34,6.77,1.43
scaffold_8-113,6.2,3.42,2.67,1.81
scaffold_3-107,5.6,20.65,2.8,1.69
scaffold_1677-1,5.51,9.73,3.1,1.46
scaffold_1-233,5.32,2.55,4.86,1.13
scaffold_8-110,6.89,76.24,2.35,1.78
scaffold_6-127,6.49,9.18,3.76,1.53
scaffold_7-120,4.92,7.61,3.43,0.93
scaffold_10-60,5.14,13.1,3.16,1.42
scaffold_4-150,5.27,4.08,5.6,1.2
scaffold_1039-1,6.37,33.26,2.03,1.59
scaffold_1-238,5.97,5.81,3.1,1.26
scaffold_5-87,5.95,35.92,7.07,1.68
scaffold_445-1,5.92,2.66,3.75,1.6
scaffold_3-113,5.41,4.56,7.15,1.44
scaffold_2-159,7.11,14.4,5.8,1.36
scaffold_2-154,6.59,29.07,2.9,1.68
scaffold_7-124,5.46,15.27,3.98,1.25
scaffold_6-135,5.93,27.12,3.59,1.78
scaffold_7-123,5.03,3.86,5.95,1.14
scaffold_4-149,5.67,14.84,2.18,1.36
scaffold_1-227,6.16,65.59,3.46,1.15
scaffold_8-115,5.77,10.65,3.06,1.57
scaffold_3-112,5.37,6.63,6.01,1.38
scaffold_6-137,7.37,8.53,4.67,1.35
scaffold_2-158,5.72,5.98,6.05,1.55
scaffold_4-147,5.49,11.47,2.29,1.62
scaffold_8-116,6.27,13.2,2.62,1.55
scaffold_2-160,6.81,25.87,2.42,1.61
scaffold_9-81,5.37,2.23,4.28,1.42
scaffold_2-155,6.44,17.33,2.93,1.48
scaffold_5-91,6.49,26.46,4.34,1.36
scaffold_6-133,6.02,9.94,4.99,1.46
scaffold_7-125,5.69,5.54,6.7,1.29
scaffold_8b-11,5.37,5.54,5.16,2.7
scaffold_7-126,5.51,2.28,6.35,1.39
scaffold_1-248,5.71,4.18,5.34,1.32
scaffold_5-90,5.57,7.01,2.99,1.55
scaffold_10-59,5.83,14.67,1.86,1.39
scaffold_3-111,6.69,9.73,3.87,1.3
scaffold_2-161,5.17,7.28,4.85,1.17
scaffold_2-157,5.94,11.09,4.41,1.64
scaffold_6-142,5.62,14.07,3.35,1.57
scaffold_9-87,5.06,32.01,2.1,1.26
scaffold_4-151,6.04,55.86,1.02,1.43
scaffold_3-110,5.71,6.19,2.91,1.51
scaffold_6-138,6.03,4.89,4.61,1.23
scaffold_10-61,6.35,12.44,4.35,1.68
scaffold_8-122,5.14,3.48,4.69,1.19
scaffold_6-136,6,17.88,4.88,1.27
scaffold_7-128,5.96,9.56,5.2,1.59
scaffold_4-154,5.83,15.54,5.09,1.24
scaffold_2-151,5.11,4.18,5.19,1.36
scaffold_10-66,4.34,2.23,2.26,1.04
scaffold_8-118,5.4,1.96,2.45,1.48
scaffold_5-89,5.74,4.24,6.6,1.62
scaffold_60-1,5.49,3.37,5.04,1.49
scaffold_1-254,4.77,3.31,3.24,1.21
scaffold_87-3,5.02,2.99,5.33,1.04
scaffold_2-156,5.56,12.72,4.69,1.12
scaffold_1-245,5.1,3.37,4.11,1.36
scaffold_1-236,5.03,12.66,2.82,1.13
scaffold_6-140,5.52,31.14,5.33,1.22
scaffold_4-152,6.88,7.93,2.77,1.6
scaffold_5-93,5.08,4.02,5.14,1.25
scaffold_6-146,5,14.51,4.32,1.16
scaffold_151-2,5.07,20.98,4.07,1.52
scaffold_6-130,5.11,2.88,4.33,1.43
scaffold_4-158,5.25,5.43,3.97,1.27
scaffold_547-1,5.32,2.39,3.22,1.45
scaffold_5-94,5.7,0.82,3.4,1.58
scaffold_3-114,5.69,4.89,5.78,1.28
scaffold_9-91,6.35,24.94,4.09,1.49
scaffold_8-119,5.62,6.85,7.52,1.13
scaffold_4-157,5.59,25.87,3.07,1.62
scaffold_2-162,5.53,7.83,5.13,1.3
scaffold_10-65,5.41,8.15,6.84,1.46
scaffold_9-89,6.05,4.46,5.95,1.56
scaffold_4-153,7.45,9.94,2.15,1.4
scaffold_1-258,5.67,15.76,3.86,1.67
scaffold_10-63,5.08,8.26,4.52,0.92
scaffold_8b-14,4.64,6.68,3.55,0.87
scaffold_6-141,6.33,27.77,2.2,1.49
scaffold_9-93,7.05,5.16,2.1,0.93
scaffold_8-127,5.7,5.33,5.63,1.34
scaffold_5b-4,5.66,3.97,2.6,1.47
scaffold_10-67,4.97,2.72,4.46,1.26
scaffold_10-62,5.45,4.84,3.6,1.78
scaffold_8-117,6.36,10.65,3.4,1.7
scaffold_8-124,5.27,4.02,5.04,1.25
scaffold_1-256,4.87,2.88,6.38,1.28
scaffold_8-123,5.36,7.28,3.25,1.5
scaffold_7-129,5.66,6.14,6.32,1.29
scaffold_7-132,6.12,21.52,2.91,1.49
scaffold_1-252,5.18,4.08,3.58,1.01
scaffold_2-164,5.46,2.34,4.15,1.2
scaffold_1-262,5.94,37.82,3.59,1.54
scaffold_8-128,5.32,4.73,5.24,1.25
scaffold_5-95,5.51,47.39,4.99,1.35
scaffold_1-242,5.86,12.23,3.66,1.71
scaffold_8c-4,7,154.65,5.19,1.66
scaffold_10-64,6.48,9.07,2.25,1.57
scaffold_1-251,4.59,4.29,5.26,1.03
scaffold_4-155,5.15,15.43,6.73,1.33
scaffold_7-133,5.47,126.29,2.32,1.14
scaffold_1-253,6.97,10.6,3.68,1.6
scaffold_1-255,5.69,10.92,5.82,1.45
scaffold_8-130,6.12,4.02,6.66,1.67
scaffold_8-125,5.66,7.77,5.31,1.41
scaffold_7-134,5.64,17.61,1.85,1.21
scaffold_6-147,6.07,4.95,5.1,1.3
scaffold_4-159,5.23,1.96,5.85,1.42
scaffold_6-144,5.7,6.58,5.77,1.33
scaffold_23-1,5.75,3.04,1.84,1.48
scaffold_9-95,4.98,5.71,4.16,1.05
scaffold_1-261,5.17,2.45,6.29,1.44
scaffold_6-134,5.52,9.78,6.27,1.43
scaffold_2-163,5.5,4.56,5.25,1.38
scaffold_2-165,5.43,15.7,6.43,1.19
scaffold_3-116,6.1,9.46,2.67,1.61
scaffold_1-264,6.06,4.67,5.36,1.37
scaffold_8-126,5.51,11.41,4.44,1.33
scaffold_6-145,5.7,2.93,3.82,1.37
scaffold_6-149,4.66,7.12,3.83,0.94
scaffold_1-260,5.92,5.16,5.01,1.61
scaffold_2-170,5.75,2.28,2.73,1.56
scaffold_2-168,5.58,7.39,3.22,1.73
scaffold_5-98,5.98,5.16,5.73,1.29
scaffold_271-1,4.19,3.91,1.23,0.49
scaffold_7-131,5.42,2.61,3.4,1.62
scaffold_7-137,6.01,39.02,4,1.43
scaffold_7-135,5.78,5.92,5.07,1.37
scaffold_6-143,5.58,7.93,1.92,1.49
scaffold_1-259,6.82,64.72,1.32,1.64
scaffold_2-167,5.8,4.51,3.91,1.35
scaffold_3-120,5.33,9.13,3.2,1.32
scaffold_9-97,5.75,5.76,2.9,1.83
scaffold_529-1,4.78,7.01,2.09,1.24
scaffold_1-246,5.74,8.75,6.03,1.5
scaffold_9-98,5.3,3.75,3.81,1.59
scaffold_1-265,5.52,8.42,6.37,1.34
scaffold_3-115,5.02,3.75,1.56,1.3
scaffold_3-117,5.71,4.51,4.03,1.64
scaffold_3-118,7.09,22.5,2.6,1.32
scaffold_6-148,5.44,6.36,5.33,1.16
scaffold_24-10,5.2,5.65,4.91,1.57
scaffold_177-1,4.94,1.25,4.11,1.43
scaffold_2-169,5.36,3.48,5.97,1.25
scaffold_8-131,5.54,3.8,4.82,1.46
scaffold_5-96,5.4,4.73,5.15,1.25
